ID,Data,Sexo,Idade,Horário,CAUSA DA MORTE,Local,Latitude,Longitude,Município,Classificação
134,22/02/2017,masculino,15,03:49:00,ARMA DE FOGO,Sítio do Apicum,"-2,543415","-44,058828",São José de Ribamar,LATROCÍNIO
135,22/02/2017,masculino,57,20:10:00,ARMA DE FOGO,Vila Nova-Bacanga,"-2,536369","-44,327731",São Luís,HOMICÍDIO DOLOSO
136,22/02/2017,masculino,16,21:00:00,ARMA DE FOGO,Vila Progresso – Pedrinhas,"-2,683815","-44,294803",São Luís,HOMICÍDIO DOLOSO
137,23/02/2017,masculino,54,16:18:00,ARMA BRANCA,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
138,23/02/2017,masculino,41,19:00:00,ARMA DE FOGO,Itapera,"-2,671284","-44,281511",São Luís,HOMICÍDIO DOLOSO
139,23/02/2017,masculino,33,05:53:00,ARMA DE FOGO,Liberdade,"-2,527837","-44,285545",São Luís,HOMICÍDIO DOLOSO
140,24/02/2017,masculino,15,16:00:00,ARMA DE FOGO,Jardim Tropical I,"-2,57504","-44,177828",São José de Ribamar,HOMICÍDIO DOLOSO
141,25/02/2017,masculino,34,16:55:00,ARMA DE FOGO,Anjo da Guarda,"-2,559842","-44,32904",São Luís,HOMICÍDIO DOLOSO
142,25/02/2017,masculino,33,20:51:00,ESPANCAMENTO,Estiva,"-2,756847","-44,348245",São Luís,HOMICÍDIO DOLOSO
143,25/02/2017,masculino,26,11:21:00,ARMA DE FOGO,Pedrinhas,"-2,688089","-44,302711",São Luís,HOMICÍDIO DOLOSO
144,25/02/2017,masculino,19,19:39:00,ARMA BRANCA,Residencial Maria Aragão,"-2,608051","-44,190381",São Luís,HOMICÍDIO DOLOSO
145,25/02/2017,masculino,24,01:00:00,ARMA DE FOGO,Vila Cutia,"-2,592125","-44,225979",São Luís,HOMICÍDIO DOLOSO
146,26/02/2017,masculino,22,16:21:00,ARMA DE FOGO,Centro-SLZ,"-2,530153","-44,299664",São Luís,HOMICÍDIO DOLOSO
147,26/02/2017,masculino,42,13:23:00,ARMA BRANCA,Gapara,"-2,58996","-44,301295",São Luís,HOMICÍDIO DOLOSO
148,26/02/2017,masculino,17,05:10:00,ARMA DE FOGO,Vicente Fialho,"-2,509273","-44,238317",São Luís,HOMICÍDIO DOLOSO
149,27/02/2017,masculino,21,22:00:00,ARMA DE FOGO,Matinha,"-2,578899","-44,15607",São José de Ribamar,LATROCÍNIO
150,28/02/2017,masculino,29,23:57:00,ARMA DE FOGO,João de Deus,"-2,558878","-44,231944",São Luís,HOMICÍDIO DOLOSO
151,01/03/2017,masculino,40,02:02:00,ARMA DE FOGO,Anil,"-2,548481","-44,238682",São Luís,HOMICÍDIO DOLOSO
152,02/03/2017,masculino,21,15:00:00,ESPANCAMENTO,Centro-SLZ,"-2,530153","-44,299664",São Luís,LESÃO CORPORAL SEGUIDA DE MORTE
153,02/03/2017,masculino,16,00:22:00,ARMA BRANCA,Vila Brasil,"-2,563739","-44,214156",São Luís,HOMICÍDIO DOLOSO
154,02/03/2017,masculino,17,00:22:00,ARMA DE FOGO,Vila Brasil,"-2,563739","-44,214156",São Luís,HOMICÍDIO DOLOSO
155,05/03/2017,masculino,45,16:08:00,ARMA DE FOGO,Residencial José Reinaldo Tavares,"-2,588824","-44,175317",São Luís,HOMICÍDIO DOLOSO
156,06/03/2017,masculino,19,12:30:00,ARMA DE FOGO,Coroadinho,"-2,563829","-44,265997",São Luís,HOMICÍDIO DOLOSO
157,06/03/2017,masculino,19,08:44:00,ARMA DE FOGO,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
158,07/03/2017,masculino,26,18:06:00,ARMA DE FOGO,Cidade Operária,"-2,573668","-44,199457",São Luís,LATROCÍNIO
159,07/03/2017,masculino,19,06:41:00,ARMA DE FOGO,Planalto Anil IV,"-2,550474","-44,218855",São Luís,HOMICÍDIO DOLOSO
160,07/03/2017,masculino,54,05:47:00,ARMA DE FOGO,São Raimundo,"-2,596433","-44,231129",São Luís,LATROCÍNIO
161,08/03/2017,masculino,34,20:33:00,ARMA DE FOGO,Aurora,"-2,548845","-44,228532",São Luís,HOMICÍDIO DOLOSO
162,08/03/2017,masculino,22,22:54:00,ARMA DE FOGO,Gapara,"-2,58996","-44,301295",São Luís,HOMICÍDIO DOLOSO
163,08/03/2017,masculino,35,20:04:00,ARMA DE FOGO,Matinha,"-2,578899","-44,15607",São José de Ribamar,HOMICÍDIO DOLOSO
164,10/03/2017,masculino,22,08:54:00,ARMA DE FOGO,Centro-SLZ,"-2,530153","-44,299664",São Luís,HOMICÍDIO DOLOSO
165,10/03/2017,masculino,23,15:51:00,ARMA DE FOGO,Vila Funil,"-2,607644","-44,245893",São Luís,HOMICÍDIO DOLOSO
166,11/03/2017,masculino,27,20:00:00,ARMA DE FOGO,Residencial Novo Horizonte,"-2,525437","-44,147015",Paço do Lumiar,HOMICÍDIO DOLOSO
167,11/03/2017,masculino,34,21:35:00,ARMA DE FOGO,Sítio Natureza,"-2,545115","-44,157014",Paço do Lumiar,HOMICÍDIO DOLOSO
168,12/03/2017,masculino,24,10:21:00,ARMA DE FOGO,Cidade Operária,"-2,573668","-44,199457",São Luís,HOMICÍDIO DOLOSO
169,12/03/2017,masculino,31,08:59:00,ARMA DE FOGO,Vila Conceição – Coroadinho,"-2,568449","-44,261609",São Luís,HOMICÍDIO DOLOSO
170,12/03/2017,masculino,21,03:44:00,ARMA DE FOGO,Vila Cafeteira-PCL,"-2,538985","-44,14856",Paço do Lumiar,HOMICÍDIO DOLOSO
171,12/03/2017,masculino,20,00:08:00,ESPANCAMENTO,Vila Janaína,"-2,59146","-44,191303",São Luís,HOMICÍDIO DOLOSO
172,13/03/2017,masculino,22,17:00:00,ESPANCAMENTO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
173,14/03/2017,masculino,20,21:00:00,ARMA DE FOGO,Outeiro da Cruz,"-2,552082","-44,254689",São Luís,HOMICÍDIO DOLOSO
174,15/03/2017,masculino,18,19:00:00,ARMA BRANCA,Residencial Nova Terra,"-2,570957","-44,15195",São José de Ribamar,HOMICÍDIO DOLOSO
175,15/03/2017,feminino,51,19:00:00,ARMA DE FOGO,Vila Collier,"-2,666269","-44,303999",São Luís,HOMICÍDIO DOLOSO
176,16/03/2017,masculino,41,13:30:00,ESPANCAMENTO,Vila Palmeira,"-2,541625","-44,254272",São Luís,HOMICÍDIO DOLOSO
177,17/03/2017,masculino,20,20:00:00,ESPANCAMENTO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,LESÃO CORPORAL SEGUIDA DE MORTE
178,17/03/2017,masculino,18,20:03:00,ARMA DE FOGO,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
